Package	Version	File	URL	SHA256
tidyr	1.3.1	tidyr_1.3.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/tidyr_1.3.1.tar.gz	sha256:e820c261cb5543f572f49276a7bdc7302aa4215da4bf850b1b939a315353835d
tidyselect	1.2.1	tidyselect_1.2.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/tidyselect_1.2.1.tar.gz	sha256:169e97ba0bbfbcdf4a80534322751f87a04370310c40e27f04aac6525d45903c
tinytex	0.60	tinytex_0.60.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/tinytex_0.60.tar.gz	sha256:a48f0e88a6cf0cd196e950dba8743df8916918a67c472923257c82bcb8a471e8
utf8	1.2.6	utf8_1.2.6.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/utf8_1.2.6.tar.gz	sha256:4589f8b72291329e70b7f3a8c20f2feb4e7764eebad2e6976bc9a3eee7686ce9
vctrs	0.7.3	vctrs_0.7.3.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/vctrs_0.7.3.tar.gz	sha256:b45078413e06ac624dddb7221a3a43908b405c8abec09822cb86638d30b0435b
viridisLite	0.4.3	viridisLite_0.4.3.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/viridisLite_0.4.3.tar.gz	sha256:433be9bde66234dc76301fb4ffbbc9fc74bab5c14f4548d8ef2fc0065e121ef5
withr	3.0.3	withr_3.0.3.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/withr_3.0.3.tar.gz	sha256:d86c6454164fc85678bfc85e2a6cce42f7461d45fa9a87de71f376e7956c991e
xfun	0.60	xfun_0.60.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/xfun_0.60.tar.gz	sha256:6f5d4fe2067bade6d7b33916f86d756a017c068296c885a6e22c30b557b84597
xtable	1.8-8	xtable_1.8-8.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/xtable_1.8-8.tar.gz	sha256:b999c031b91255fb92134b0e70e5f84c5609e9312c0518393b9d0a4aaf6b2510
yaml	2.3.12	yaml_2.3.12.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/yaml_2.3.12.tar.gz	sha256:80ccf3dde851133ef3e333b818a817c296c6ccdacfc4709cd466995289cd556c
zoo	1.8-12	zoo_1.8-12.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/zoo_1.8-12.tar.gz	sha256:e6c3862668f9e3422bced3b6fba485c76a1e91b48f5d6153822d6a61863b2fb8
zoom	2.0.6	zoom_2.0.6.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/zoom_2.0.6.tar.gz	sha256:9828990c631df1529065ab9e96e2558345d30e5fc99e632bf225e22049533316
